lev.final,TAXON,ELEMENT_MAMMAL,scan_zone,n,scan_site,horse,wildebeest,reindeer,Bison,sheep
I/J,Cervus_elaphus,Femur,zone3,1,FE3,0.36,0.5,0.35,0.34,0.2
I/J,Cervus_elaphus,Femur,zone4,0,FE4,0.59,0.65,0.57,0.45,0.36
I/J,Cervus_elaphus,Femur,zone5,0,FE5,0.46,0.49,0.4,0.36,0.24
I/J,Cervus_elaphus,Femur,zone6,0,FE6,0.3,0.38,0.32,0.26,0.22
I/J,Cervus_elaphus,Humerus,zone1,0,HU1,0.23,0.32,0.26,0.24,0.13
I/J,Cervus_elaphus,Humerus,zone2,0,HU2,0.25,0.42,0.31,0.25,0.22
I/J,Cervus_elaphus,Humerus,zone3,1,HU3,0.64,0.7,0.61,0.45,0.42
I/J,Cervus_elaphus,Humerus,zone4,1,HU4,0.55,0.61,0.62,0.48,0.37
I/J,Cervus_elaphus,Humerus,zone5,0,HU5,0.36,0.51,0.48,0.37,0.34
I/J,Cervus_elaphus,Scapula,zone1,0,SP1,0.64,0.68,0.66,0.5,0.25
I/J,Cervus_elaphus,Scapula,zone2,0,SP2,0.67,0.71,0.73,0.48,0.33
I/J,Cervus_elaphus,Scapula,zone3,1,SP3,0.55,0.74,0.73,0.28,0.19
I/J,Cervus_elaphus,Scapula,zone4,0,SP4,0.66,0.65,0.69,0.43,0.32
J,Bos_Bison_sp.,Humerus,zone1,0,HU1,0.23,0.32,0.26,0.24,0.13
J,Bos_Bison_sp.,Humerus,zone2,0,HU2,0.25,0.42,0.31,0.25,0.22
J,Bos_Bison_sp.,Humerus,zone3,1,HU3,0.64,0.7,0.61,0.45,0.42
J,Bos_Bison_sp.,Humerus,zone4,0,HU4,0.55,0.61,0.62,0.48,0.37
J,Bos_Bison_sp.,Humerus,zone5,0,HU5,0.36,0.51,0.48,0.37,0.34
J,Bos_Bison_sp.,Metatarsal,zone1,0,MR1,0.59,0.63,0.58,0.52,0.43
J,Bos_Bison_sp.,Metatarsal,zone2,0,MR2,0.75,0.71,0.57,0.59,0.53
J,Bos_Bison_sp.,Metatarsal,zone3,1,MR3,0.91,0.84,0.65,0.67,0.68
J,Bos_Bison_sp.,Metatarsal,zone4,0,MR4,0.71,0.65,0.54,0.51,0.51
J,Bos_Bison_sp.,Metatarsal,zone5,0,MR5,0.58,0.54,0.41,0.4,0.31
J,Bos_Bison_sp.,Metatarsal,zone6,0,MR6,0.6,0.65,0.59,0.48,0.39
J,Bos_Bison_sp.,Tibia,zone1,0,TI1,0.3,0.42,0.35,0.41,0.16
J,Bos_Bison_sp.,Tibia,zone2,0,TI2,0.44,0.55,0.44,0.58,0.2
J,Bos_Bison_sp.,Tibia,zone3,1,TI3,0.82,0.77,0.71,0.76,0.59
J,Bos_Bison_sp.,Tibia,zone4,3,TI4,0.55,0.57,0.53,0.44,0.36
J,Bos_Bison_sp.,Tibia,zone5,0,TI5,0.43,0.48,0.39,0.41,0.28
J,Cervid_sp.,Axis,zone1,0,AX1,0.53,0.87,0.62,0.65,0.13
J,Cervid_sp.,Axis,zone2,0,AX2,0.37,0.41,0.42,0.38,0.14
J,Cervid_sp.,Scapula,zone1,0,SP1,0.64,0.68,0.66,0.5,0.25
J,Cervid_sp.,Scapula,zone2,0,SP2,0.67,0.71,0.73,0.48,0.33
J,Cervid_sp.,Scapula,zone3,1,SP3,0.55,0.74,0.73,0.28,0.19
J,Cervid_sp.,Scapula,zone4,0,SP4,0.66,0.65,0.69,0.43,0.32
J,Cervus_elaphus,Tibia,zone1,0,TI1,0.3,0.42,0.35,0.41,0.16
J,Cervus_elaphus,Tibia,zone2,0,TI2,0.44,0.55,0.44,0.58,0.2
J,Cervus_elaphus,Tibia,zone3,1,TI3,0.82,0.77,0.71,0.76,0.59
J,Cervus_elaphus,Tibia,zone4,0,TI4,0.55,0.57,0.53,0.44,0.36
J,Cervus_elaphus,Tibia,zone5,0,TI5,0.43,0.48,0.39,0.41,0.28
J/K,Equid_sp.,Tibia,zone1,0,TI1,0.3,0.42,0.35,0.41,0.16
J/K,Equid_sp.,Tibia,zone2,0,TI2,0.44,0.55,0.44,0.58,0.2
J/K,Equid_sp.,Tibia,zone3,1,TI3,0.82,0.77,0.71,0.76,0.59
J/K,Equid_sp.,Tibia,zone4,0,TI4,0.55,0.57,0.53,0.44,0.36
J/K,Equid_sp.,Tibia,zone5,0,TI5,0.43,0.48,0.39,0.41,0.28
K,Cervid_sp.,Metacarpal,zone1,0,MC1,0.55,0.58,0.63,0.59,0.4
K,Cervid_sp.,Metacarpal,zone2,0,MC2,0.66,0.72,0.69,0.63,0.55
K,Cervid_sp.,Metacarpal,zone3,1,MC3,0.84,0.86,0.79,0.69,0.67
K,Cervid_sp.,Metacarpal,zone4,0,MC4,0.67,0.62,0.59,0.6,0.54
K,Cervid_sp.,Metacarpal,zone5,0,MC5,0.56,0.56,0.48,0.46,0.38
K,Cervid_sp.,Metacarpal,zone6,0,MC6,0.6,0.62,0.68,0.53,0.5
K,Cervid_sp.,Radius,zone1,0,RA1,0.37,0.51,0.53,0.48,0.35
K,Cervid_sp.,Radius,zone2,0,RA2,0.51,0.62,0.57,0.56,0.36
K,Cervid_sp.,Radius,zone3,1,RA3,0.84,0.8,0.73,0.62,0.52
K,Cervid_sp.,Radius,zone4,0,RA4,0.43,0.49,0.38,0.42,0.19
K,Cervid_sp.,Radius,zone5,0,RA5,0.42,0.47,0.49,0.35,0.21
K,Cervus_elaphus,Radio-ulna,zone1,0,UL1,0.43,0.46,0.49,0.34,0.18
K,Cervus_elaphus,Radio-ulna,zone2,0,UL2,0.65,0.73,0.68,0.69,0.26
K,Cervus_elaphus,Radio-ulna,zone3,1,RA1,0.37,0.51,0.53,0.48,0.35
K,Cervus_elaphus,Radio-ulna,zone4,0,RA2,0.51,0.62,0.57,0.56,0.36
K,Cervus_elaphus,Radio-ulna,zone5,0,RA3,0.84,0.8,0.73,0.62,0.52
K,Cervus_elaphus,Radio-ulna,zone6,0,RA4,0.43,0.49,0.38,0.42,0.19
K,Cervus_elaphus,Radio-ulna,zone7,0,RA5,0.42,0.47,0.49,0.35,0.21
K,Cervus_elaphus,Radius,zone1,0,RA1,0.37,0.51,0.53,0.48,0.35
K,Cervus_elaphus,Radius,zone2,0,RA2,0.51,0.62,0.57,0.56,0.36
K,Cervus_elaphus,Radius,zone3,1,RA3,0.84,0.8,0.73,0.62,0.52
K,Cervus_elaphus,Radius,zone4,0,RA4,0.43,0.49,0.38,0.42,0.19
K,Cervus_elaphus,Radius,zone5,0,RA5,0.42,0.47,0.49,0.35,0.21
K,Equid_sp.,Radius,zone1,0,RA1,0.37,0.51,0.53,0.48,0.35
K,Equid_sp.,Radius,zone2,0,RA2,0.51,0.62,0.57,0.56,0.36
K,Equid_sp.,Radius,zone3,1,RA3,0.84,0.8,0.73,0.62,0.52
K,Equid_sp.,Radius,zone4,0,RA4,0.43,0.49,0.38,0.42,0.19
K,Equid_sp.,Radius,zone5,0,RA5,0.42,0.47,0.49,0.35,0.21
K,Equid_sp.,Tibia,zone1,0,TI1,0.3,0.42,0.35,0.41,0.16
K,Equid_sp.,Tibia,zone2,0,TI2,0.44,0.55,0.44,0.58,0.2
K,Equid_sp.,Tibia,zone3,2,TI3,0.82,0.77,0.71,0.76,0.59
K,Equid_sp.,Tibia,zone4,0,TI4,0.55,0.57,0.53,0.44,0.36
K,Equid_sp.,Tibia,zone5,0,TI5,0.43,0.48,0.39,0.41,0.28
K,Equus_ferus,Tibia,zone1,0,TI1,0.3,0.42,0.35,0.41,0.16
K,Equus_ferus,Tibia,zone2,0,TI2,0.44,0.55,0.44,0.58,0.2
K,Equus_ferus,Tibia,zone3,1,TI3,0.82,0.77,0.71,0.76,0.59
K,Equus_ferus,Tibia,zone4,1,TI4,0.55,0.57,0.53,0.44,0.36
K,Equus_ferus,Tibia,zone5,0,TI5,0.43,0.48,0.39,0.41,0.28
K,Megaloceros_giganteus,Humerus,zone1,0,HU1,0.23,0.32,0.26,0.24,0.13
K,Megaloceros_giganteus,Humerus,zone2,0,HU2,0.25,0.42,0.31,0.25,0.22
K,Megaloceros_giganteus,Humerus,zone3,1,HU3,0.64,0.7,0.61,0.45,0.42
K,Megaloceros_giganteus,Humerus,zone4,0,HU4,0.55,0.61,0.62,0.48,0.37
K,Megaloceros_giganteus,Humerus,zone5,0,HU5,0.36,0.51,0.48,0.37,0.34
K,Megaloceros_giganteus,Radius,zone1,0,RA1,0.37,0.51,0.53,0.48,0.35
K,Megaloceros_giganteus,Radius,zone2,0,RA2,0.51,0.62,0.57,0.56,0.36
K,Megaloceros_giganteus,Radius,zone3,1,RA3,0.84,0.8,0.73,0.62,0.52
K,Megaloceros_giganteus,Radius,zone4,0,RA4,0.43,0.49,0.38,0.42,0.19
K,Megaloceros_giganteus,Radius,zone5,0,RA5,0.42,0.47,0.49,0.35,0.21
I,Bison_priscus,Scapula,zone1,0,SP1,0.64,0.68,0.66,0.5,0.25
I,Bison_priscus,Scapula,zone2,0,SP2,0.67,0.71,0.73,0.48,0.33
I,Bison_priscus,Scapula,zone3,0,SP3,0.55,0.74,0.73,0.28,0.19
I,Bison_priscus,Scapula,zone4,1,SP4,0.66,0.65,0.69,0.43,0.32
I,Capreolus_capreolus,Tibia,zone1,0,TI1,0.3,0.42,0.35,0.41,0.16
I,Capreolus_capreolus,Tibia,zone2,0,TI2,0.44,0.55,0.44,0.58,0.2
I,Capreolus_capreolus,Tibia,zone3,0,TI3,0.82,0.77,0.71,0.76,0.59
I,Capreolus_capreolus,Tibia,zone4,1,TI4,0.55,0.57,0.53,0.44,0.36
I,Capreolus_capreolus,Tibia,zone5,0,TI5,0.43,0.48,0.39,0.41,0.28
I,Equid_sp.,Radius,zone1,0,RA1,0.37,0.51,0.53,0.48,0.35
I,Equid_sp.,Radius,zone2,0,RA2,0.51,0.62,0.57,0.56,0.36
I,Equid_sp.,Radius,zone3,0,RA3,0.84,0.8,0.73,0.62,0.52
I,Equid_sp.,Radius,zone4,2,RA4,0.43,0.49,0.38,0.42,0.19
I,Equid_sp.,Radius,zone5,1,RA5,0.42,0.47,0.49,0.35,0.21
I/J,Bos_Bison_sp.,Radius,zone1,0,RA1,0.37,0.51,0.53,0.48,0.35
I/J,Bos_Bison_sp.,Radius,zone2,0,RA2,0.51,0.62,0.57,0.56,0.36
I/J,Bos_Bison_sp.,Radius,zone3,0,RA3,0.84,0.8,0.73,0.62,0.52
I/J,Bos_Bison_sp.,Radius,zone4,1,RA4,0.43,0.49,0.38,0.42,0.19
I/J,Bos_Bison_sp.,Radius,zone5,0,RA5,0.42,0.47,0.49,0.35,0.21
I/J,Capra_sp.,Radio-ulna,zone1,0,UL1,0.43,0.46,0.49,0.34,0.18
I/J,Capra_sp.,Radio-ulna,zone2,0,UL2,0.65,0.73,0.68,0.69,0.26
I/J,Capra_sp.,Radio-ulna,zone3,0,RA1,0.37,0.51,0.53,0.48,0.35
I/J,Capra_sp.,Radio-ulna,zone4,1,RA2,0.51,0.62,0.57,0.56,0.36
I/J,Capra_sp.,Radio-ulna,zone5,0,RA3,0.84,0.8,0.73,0.62,0.52
I/J,Capra_sp.,Radio-ulna,zone6,0,RA4,0.43,0.49,0.38,0.42,0.19
I/J,Capra_sp.,Radio-ulna,zone7,0,RA5,0.42,0.47,0.49,0.35,0.21
I/J,Cervid_sp.,Humerus,zone1,0,HU1,0.23,0.32,0.26,0.24,0.13
I/J,Cervid_sp.,Humerus,zone2,0,HU2,0.25,0.42,0.31,0.25,0.22
I/J,Cervid_sp.,Humerus,zone3,0,HU3,0.64,0.7,0.61,0.45,0.42
I/J,Cervid_sp.,Humerus,zone4,1,HU4,0.55,0.61,0.62,0.48,0.37
I/J,Cervid_sp.,Humerus,zone5,0,HU5,0.36,0.51,0.48,0.37,0.34
I/J,Cervus_elaphus,Tibia,zone1,0,TI1,0.3,0.42,0.35,0.41,0.16
I/J,Cervus_elaphus,Tibia,zone2,0,TI2,0.44,0.55,0.44,0.58,0.2
I/J,Cervus_elaphus,Tibia,zone3,0,TI3,0.82,0.77,0.71,0.76,0.59
I/J,Cervus_elaphus,Tibia,zone4,1,TI4,0.55,0.57,0.53,0.44,0.36
I/J,Cervus_elaphus,Tibia,zone5,0,TI5,0.43,0.48,0.39,0.41,0.28
J,Bos_Bison_sp.,Femur,zone1,0,FE1,0.35,0.41,0.39,0.31,0.28
J,Bos_Bison_sp.,Femur,zone2,0,FE2,0.3,0.42,0.35,0.34,0.16
J,Bos_Bison_sp.,Femur,zone3,0,FE3,0.36,0.5,0.35,0.34,0.2
J,Bos_Bison_sp.,Femur,zone4,1,FE4,0.59,0.65,0.57,0.45,0.36
J,Bos_Bison_sp.,Femur,zone5,0,FE5,0.46,0.49,0.4,0.36,0.24
J,Bos_Bison_sp.,Femur,zone6,0,FE6,0.3,0.38,0.32,0.26,0.22
J/K,Cervid_sp.,Metacarpal,zone1,0,MC1,0.55,0.58,0.63,0.59,0.4
J/K,Cervid_sp.,Metacarpal,zone2,0,MC2,0.66,0.72,0.69,0.63,0.55
J/K,Cervid_sp.,Metacarpal,zone3,0,MC3,0.84,0.86,0.79,0.69,0.67
J/K,Cervid_sp.,Metacarpal,zone4,1,MC4,0.67,0.62,0.59,0.6,0.54
J/K,Cervid_sp.,Metacarpal,zone5,0,MC5,0.56,0.56,0.48,0.46,0.38
J/K,Cervid_sp.,Metacarpal,zone6,0,MC6,0.6,0.62,0.68,0.53,0.5
K,Bos_Bison_sp.,Radius,zone1,0,RA1,0.37,0.51,0.53,0.48,0.35
K,Bos_Bison_sp.,Radius,zone2,0,RA2,0.51,0.62,0.57,0.56,0.36
K,Bos_Bison_sp.,Radius,zone3,0,RA3,0.84,0.8,0.73,0.62,0.52
K,Bos_Bison_sp.,Radius,zone4,1,RA4,0.43,0.49,0.38,0.42,0.19
K,Bos_Bison_sp.,Radius,zone5,0,RA5,0.42,0.47,0.49,0.35,0.21
I,Bos_Bison_sp.,Scapula,zone1,0,SP1,0.64,0.68,0.66,0.5,0.25
I,Bos_Bison_sp.,Scapula,zone2,0,SP2,0.67,0.71,0.73,0.48,0.33
I,Bos_Bison_sp.,Scapula,zone3,0,SP3,0.55,0.74,0.73,0.28,0.19
I,Bos_Bison_sp.,Scapula,zone4,0,SP4,0.66,0.65,0.69,0.43,0.32
I,Capra_caucasica,Scapula,zone1,0,SP1,0.64,0.68,0.66,0.5,0.25
I,Capra_caucasica,Scapula,zone2,0,SP2,0.67,0.71,0.73,0.48,0.33
I,Capra_caucasica,Scapula,zone3,0,SP3,0.55,0.74,0.73,0.28,0.19
I,Capra_caucasica,Scapula,zone4,0,SP4,0.66,0.65,0.69,0.43,0.32
I,Capra_sp.,Femur,zone1,0,FE1,0.35,0.41,0.39,0.31,0.28
I,Capra_sp.,Femur,zone2,0,FE2,0.3,0.42,0.35,0.34,0.16
I,Capra_sp.,Femur,zone3,0,FE3,0.36,0.5,0.35,0.34,0.2
I,Capra_sp.,Femur,zone4,0,FE4,0.59,0.65,0.57,0.45,0.36
I,Capra_sp.,Femur,zone5,1,FE5,0.46,0.49,0.4,0.36,0.24
I,Capra_sp.,Femur,zone6,0,FE6,0.3,0.38,0.32,0.26,0.22
I,Cervus_elaphus,Scapula,zone1,0,SP1,0.64,0.68,0.66,0.5,0.25
I,Cervus_elaphus,Scapula,zone2,0,SP2,0.67,0.71,0.73,0.48,0.33
I,Cervus_elaphus,Scapula,zone3,0,SP3,0.55,0.74,0.73,0.28,0.19
I,Cervus_elaphus,Scapula,zone4,0,SP4,0.66,0.65,0.69,0.43,0.32
I,Equid_sp.,Femur,zone1,0,FE1,0.35,0.41,0.39,0.31,0.28
I,Equid_sp.,Femur,zone2,0,FE2,0.3,0.42,0.35,0.34,0.16
I,Equid_sp.,Femur,zone3,0,FE3,0.36,0.5,0.35,0.34,0.2
I,Equid_sp.,Femur,zone4,0,FE4,0.59,0.65,0.57,0.45,0.36
I,Equid_sp.,Femur,zone5,1,FE5,0.46,0.49,0.4,0.36,0.24
I,Equid_sp.,Femur,zone6,1,FE6,0.3,0.38,0.32,0.26,0.22
I/J,Bos_Bison_sp.,Scapula,zone1,0,SP1,0.64,0.68,0.66,0.5,0.25
I/J,Bos_Bison_sp.,Scapula,zone2,0,SP2,0.67,0.71,0.73,0.48,0.33
I/J,Bos_Bison_sp.,Scapula,zone3,0,SP3,0.55,0.74,0.73,0.28,0.19
I/J,Bos_Bison_sp.,Scapula,zone4,0,SP4,0.66,0.65,0.69,0.43,0.32
I/J,Cervid_sp.,Femur,zone1,0,FE1,0.35,0.41,0.39,0.31,0.28
I/J,Cervid_sp.,Femur,zone2,0,FE2,0.3,0.42,0.35,0.34,0.16
I/J,Cervid_sp.,Femur,zone3,0,FE3,0.36,0.5,0.35,0.34,0.2
I/J,Cervid_sp.,Femur,zone4,0,FE4,0.59,0.65,0.57,0.45,0.36
I/J,Cervid_sp.,Femur,zone5,1,FE5,0.46,0.49,0.4,0.36,0.24
I/J,Cervid_sp.,Femur,zone6,0,FE6,0.3,0.38,0.32,0.26,0.22
I,Capra_sp.,Radio-ulna,zone1,0,UL1,0.43,0.46,0.49,0.34,0.18
I,Capra_sp.,Radio-ulna,zone2,0,UL2,0.65,0.73,0.68,0.69,0.26
I,Capra_sp.,Radio-ulna,zone3,0,RA1,0.37,0.51,0.53,0.48,0.35
I,Capra_sp.,Radio-ulna,zone4,0,RA2,0.51,0.62,0.57,0.56,0.36
I,Capra_sp.,Radio-ulna,zone5,0,RA3,0.84,0.8,0.73,0.62,0.52
I,Capra_sp.,Radio-ulna,zone6,1,RA4,0.43,0.49,0.38,0.42,0.19
I,Capra_sp.,Radio-ulna,zone7,0,RA5,0.42,0.47,0.49,0.35,0.21
I,Equid_sp.,Metacarpal,zone1,0,MC1,0.55,0.58,0.63,0.59,0.4
I,Equid_sp.,Metacarpal,zone2,0,MC2,0.66,0.72,0.69,0.63,0.55
I,Equid_sp.,Metacarpal,zone3,0,MC3,0.84,0.86,0.79,0.69,0.67
I,Equid_sp.,Metacarpal,zone4,0,MC4,0.67,0.62,0.59,0.6,0.54
I,Equid_sp.,Metacarpal,zone5,0,MC5,0.56,0.56,0.48,0.46,0.38
I,Equid_sp.,Metacarpal,zone6,1,MC6,0.6,0.62,0.68,0.53,0.5
I,Equid_sp.,Metatarsal,zone1,0,MR1,0.59,0.63,0.58,0.52,0.43
I,Equid_sp.,Metatarsal,zone2,0,MR2,0.75,0.71,0.57,0.59,0.53
I,Equid_sp.,Metatarsal,zone3,0,MR3,0.91,0.84,0.65,0.67,0.68
I,Equid_sp.,Metatarsal,zone4,0,MR4,0.71,0.65,0.54,0.51,0.51
I,Equid_sp.,Metatarsal,zone5,0,MR5,0.58,0.54,0.41,0.4,0.31
I,Equid_sp.,Metatarsal,zone6,1,MR6,0.6,0.65,0.59,0.48,0.39
I,Bos_Bison_sp.,Acetabulum,zone7,1,AC1,0.65,0.64,0.64,0.53,0.26
I,Capra_sp.,Acetabulum,zone7,1,AC1,0.65,0.64,0.64,0.53,0.26
I,Cervus_elaphus,Acetabulum,zone7,1,AC1,0.65,0.64,0.64,0.53,0.26
I,Equid_sp.,Acetabulum,zone7,1,AC1,0.65,0.64,0.64,0.53,0.26
